id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48613160,Home in Winnipeg · 5 bedrooms · 5 beds · 5 baths,146070721,Roger,,Waverley West,49.77719,-97.18416,Entire home/apt,288,365,0,,,1,365,0,
48905222,Condo in Winnipeg · ★4.65 · 1 bedroom · 1 bed · 1 bath,74203278,Roam,,Point Douglas,49.89929,-97.13525,Entire home/apt,,4,51,2023-06-11,1.60,58,0,5,
946651592826175048,Home in Winnipeg · ★4.67 · 1 bedroom · 1 bed,67753692,Alexandra,,Transcona,49.90856979898137,-97.01573838992677,Private room,52,1,3,2023-10-31,0.87,1,67,3,
6645164,Home in Winnipeg · ★4.89 · 1 bedroom · 1 bed · 1 private bath,34740382,Angie,,Old Kildonan,49.95232,-97.19037,Private room,,1,148,2023-09-28,1.43,1,0,9,
12113228,Bungalow in Winnipeg · ★5.0 · 4 bedrooms · 4 beds · 3 baths,43119179,Deborah,,Charleswood - Tuxedo - Westwood,49.85975,-97.2237,Entire home/apt,850,7,23,2019-12-30,0.25,1,363,0,
13039593,Guest suite in Winnipeg · ★4.83 · 2 bedrooms · 3 beds · 1 bath,42928963,Lois,,River Heights - Fort Garry,49.87064,-97.19455,Entire home/apt,69,3,91,2023-12-07,0.99,1,0,25,
16542682,Condo in Winnipeg · 2 bedrooms · 2 beds · 1 bath,65535254,Tiffany,,Fort Rouge - East Fort Garry,49.87348,-97.14752,Entire home/apt,60,30,0,,,4,350,0,
18687663,Home in Winnipeg · ★5.0 · 2 bedrooms · 2 beds · 1 bath,6366974,Graham,,Fort Rouge - East Fort Garry,49.86259,-97.15003,Entire home/apt,,60,6,2022-06-15,0.08,1,0,0,
20542130,Townhouse in Winnipeg · ★5.0 · Studio · 2 beds · 2.5 baths,5153325,Ron,,Point Douglas,49.8961,-97.13412,Entire home/apt,450,2,10,2023-08-02,0.13,1,89,2,
21501002,Guest suite in Winnipeg · ★4.94 · Studio · 1 bed · 1 bath,11151940,Steph,,St. Boniface,49.88783,-97.11352,Entire home/apt,45,4,52,2023-11-19,0.73,2,149,8,
21919063,Condo in Winnipeg · ★5.0 · 1 bedroom · 1 bed · 1 bath,159932147,Rebecca,,Fort Rouge - East Fort Garry,49.8792,-97.14911,Entire home/apt,65,29,34,2023-11-17,0.46,1,98,5,
23632750,Home in Winnipeg · ★4.71 · 3 bedrooms · 3 beds · 2.5 baths,176861109,Montierro,,River Heights - Fort Garry,49.84798,-97.15446,Entire home/apt,149,3,77,2023-11-15,2.84,2,139,28,
