id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42493108,Hostel in Québec · ★4.68 · 1 bedroom · 6 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80507,-71.21591,Shared room,38,1,59,2023-10-21,1.98,19,352,15,"300716, expires: 2023-12-31"
42493235,Hostel in Québec · ★4.60 · 1 bedroom · 4 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80548,-71.21697,Shared room,40,1,66,2023-11-16,2.19,19,0,30,"300716, expires: 2023-12-31"
42493319,Hostel in Québec · ★4.73 · 1 bedroom · 6 beds · 13 baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8069,-71.21749,Private room,142,1,122,2023-11-24,2.93,19,0,56,"300716, expires: 2023-12-31"
42493379,Hostel in Québec · ★4.64 · 1 bedroom · 3 beds · 13 baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80708,-71.21617,Private room,122,1,87,2023-12-03,2.07,19,176,37,"300716, expires: 2023-12-31"
42493457,Hostel in Québec · ★4.78 · 1 bedroom · 3 beds · 1 bath,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80634,-71.21686,Private room,142,1,73,2023-11-19,1.74,19,298,29,"300716, expires: 2023-12-31"
42493612,Hostel in Québec · ★4.54 · 1 bedroom · 1 bed · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80498,-71.21752,Private room,78,1,48,2023-12-02,1.16,19,233,25,"300716, expires: 2023-12-31"
42493668,Hostel in Québec · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80489,-71.21721,Private room,128,1,21,2023-07-28,0.51,19,311,4,"300716, expires: 2023-12-31"
42580129,Loft in Québec · ★4.86 · 1 bedroom · 2 beds · 1.5 baths,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8145,-71.21288,Entire home/apt,284,1,79,2023-09-25,1.97,67,293,7,"233564, expires: 2024-04-30"
42584153,Rental unit in Québec · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,118240234,Javier,,Saint-Roch,46.81547,-71.22227,Private room,100,31,11,2023-02-16,0.29,1,365,1,
42623352,Loft in Québec · ★4.77 · Studio · 1 bed · 1 bath,146148126,Stéphanie,,Saint-Roch,46.81411,-71.22623,Entire home/apt,76,1,274,2023-12-03,6.40,6,343,68,"292213, expires: 2024-05-31"
42623668,Home in Québec · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,288704300,Yves,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.82111,-71.20458,Entire home/apt,439,2,44,2023-10-10,1.59,2,135,19,"310104, expires: 2024-05-31"
42639613,Home in Québec · ★4.71 · 1 bedroom · 2 beds · 1.5 baths,288704300,Yves,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.82104,-71.20533,Entire home/apt,439,2,28,2023-10-16,1.01,2,145,10,"310105, expires: 2024-05-31"
42657163,Loft in Québec · ★4.76 · 1 bedroom · 2 beds · 1.5 baths,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81281,-71.21283,Entire home/apt,272,1,33,2023-06-07,0.92,67,300,4,"233564, expires: 2024-04-30"
42684638,Home in Québec · ★5.0 · 2 bedrooms · 2 beds · 2 baths,4646399,Mélody,,Cap-Rouge,46.74796,-71.34964,Entire home/apt,174,2,10,2023-10-21,0.53,1,364,5,"302983, expires: 2024-01-01T01:00:00Z"
42687485,Loft in Québec · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81233,-71.21285,Entire home/apt,278,1,10,2022-11-19,0.26,67,359,0,"233564, expires: 2024-04-30"
42758792,Loft in Québec · ★4.84 · 1 bedroom · 1 bed · 1 bath,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8144,-71.21179,Entire home/apt,290,1,100,2023-10-01,2.42,67,286,5,"233564, expires: 2024-04-30"
42759132,Rental unit in Québec · ★4.80 · 1 bedroom · 3 beds · 1 bath,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81258,-71.21243,Entire home/apt,284,1,5,2021-04-18,0.13,67,309,0,"233564, expires: 2024-04-30"
42759553,Loft in Québec · ★4.56 · 1 bedroom · 2 beds · 1 bath,23693320,Reception From Lofts Vieux-Québec,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81455,-71.21319,Entire home/apt,284,1,9,2023-04-30,0.22,67,337,1,"233564, expires: 2024-04-30"
42778024,Loft in Québec · ★4.89 · 1 bedroom · 2 beds · 1 bath,214440503,Pierre,,Quartier 5-4,46.86517,-71.17625,Entire home/apt,119,31,27,2023-10-22,4.35,1,341,27,"306200, expires: 2024-11-08T00:00:00Z"
42783513,Home in Québec · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,29749497,Geneviève,,Chutes-Montmorency,46.88589,-71.15616,Entire home/apt,179,4,12,2023-09-11,0.55,1,0,6,"309500, expires: 2024-04-30"
42962070,Rental unit in Québec · 3 bedrooms · 1 bed · 1.5 baths,342066130,Paul,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81478,-71.21087,Entire home/apt,,31,0,,,1,0,0,
43095356,Hostel in Québec · ★4.66 · 1 bedroom · 12 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8055,-71.2174,Shared room,29,1,412,2023-12-10,10.17,19,360,160,"300716, expires: 2023-12-31"
43095524,Hostel in Québec · ★4.62 · 1 bedroom · 2 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8072,-71.21573,Shared room,29,1,89,2023-11-06,2.13,19,356,27,"300716, expires: 2023-12-31"
43095574,Hostel in Québec · ★4.72 · 1 bedroom · 4 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80641,-71.21682,Shared room,45,1,74,2023-12-10,1.86,19,0,44,"300716, expires: 2023-12-31"
43095700,Hostel in Québec · ★4.65 · 1 bedroom · 2 beds · 13 shared baths,337053723,Michael,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80504,-71.21598,Shared room,38,1,43,2023-11-29,1.07,19,358,12,"300716, expires: 2023-12-31"
